SAMPLE INFO,,,,,,,PHYSICAL MEASUREMENTS + DISSECTION,,,,,,,,,CSIA-AA,,,
UID,SpeciesName,Line Station,Net,Date,Pool,Region,Dissection Date,Standard Length (mm),Gape Width - Upper (mm),Gape Width - Lower (mm),Gape Width - Width (mm),Weight before tissue removal (g),Weight after tissue + stomach removal (g),Stomach Removed?,Picture Taken?,SIA + CSIAA Sample Name,SIA + CSIAA Tray,SIA + CSIAA Well Number,Notes
201004-MF-174-2,S. leucopsarus,81.8 46.9,NA,5/13/10,26,nearshore,4/5/24,41.53,8.03,6.98,4.12,0.8024,0.6686,Y,Y,SL105,,,Dropped off with Tran 4/15/2023
201110-NH-59-1,S. leucopsarus,81.8 46.9,NA,10/28/11,26,nearshore,4/5/24,53.2,9.68,8.74,4.78,1.7006,1.541,Y,Y,SL106,,,Dropped off with Tran 4/15/2023
198703-JD-10-1,T. mexicanus,93.3 60,NA,3/3/87,27,offshore,4/12/24,63.45,11.18,9.77,5.75,2.0102,1.7729,Y,Y,TM27,,,Eggs present
198711-NH-9-1,T. mexicanus,93.3 55,NA,11/14/87,27,offshore,4/12/24,57.84,10.71,8.92,5.56,1.4675,1.3446,Y,Y,TM26,,,
201708-SR-22-1,T. mexicanus,90 60,NA,8/5/17,28,offshore,4/9/24,58.78,10.49,8.37,5.09,1.5795,1.4556,Y,Y,TM16,,,Eggs present
201804-SH-23-1,T. mexicanus,90 70,NA,4/9/18,28,offshore,4/9/24,59.29,10.87,9.2,4.64,1.8102,1.6282,Y,Y,TM15,,,Eggs present
201902-RL-7-1,T. mexicanus,90 60,NA,2/7/19,28,offshore,4/12/24,60.92,11.16,9.31,5.98,2.1543,1.8774,Y,Y,TM28,,,
201902-RL-7-2,T. mexicanus,90 60,NA,2/7/19,28,offshore,4/12/24,40.9,7.41,6.3,3.85,0.5903,0.472,Y,Y,TM29,,,
201904-RL-23-1,T. mexicanus,90 60,NA,4/7/19,28,offshore,4/12/24,39.83,7.09,5.77,3.52,0.4989,0.4191,Y,Y,TM30,,,
199809-NH-25-1,T. mexicanus,90 37,NA,9/1/98,29,dumpsite,,,,,,,,,,,,,
199809-NH-25-2,T. mexicanus,90 37,NA,9/1/98,29,dumpsite,,,,,,,,,,,,,
199809-NH-25-3,T. mexicanus,90 37,NA,9/1/98,29,dumpsite,,,,,,,,,,,,,
199810-SP-4-1,T. mexicanus,90 37,NA,10/1/98,29,dumpsite,,,,,,,,,,,,,
199812-SP-4-1,T. mexicanus,90 37,NA,12/11/98,29,dumpsite,4/12/24,61,10.67,9.21,5.62,1.7796,1.6231,Y,Y,TM25,,,
198711-NH-10-1,T. mexicanus,93.3 60,NA,3/3/87,27,offshore,4/12/24,49.86,9.1,7.32,4.39,1.0613,0.8621,Y,Y,TM22,,,
198808-NH-10-1,T. mexicanus,93.3 60,NA,8/10/88,27,offshore,4/12/24,37.9,7.51,6.26,3.32,0.4727,0.3955,Y,Y,TM23,,,
198810-NH-9-1,T. mexicanus,93.3 60,NA,10/12/88,27,offshore,4/12/24,57.01,10.52,9.46,5.5,1.656,1.4783,Y,Y,TM24,,,Eggs present
201504-NH-4-1,T. mexicanus,93.3 28,NA,4/4/15,30,nearshore,4/9/24,49.11,9.64,7.58,4.92,0.9647,0.8772,Y,Y,TM17,,,
201507-OC-4-1,T. mexicanus,93.3 28,NA,7/8/15,30,nearshore,4/9/24,36.79,7.13,5.82,3.13,0.4423,0.3646,Y,Y,TM18,,,
201507-OC-4-2,T. mexicanus,93.3 28,NA,7/8/15,30,nearshore,4/9/24,34.89,7.09,5.66,3.03,0.3457,0.2914,Y,Y,TM19,,,
201507-OC-5-1,T. mexicanus,93.3 30,NA,7/8/15,30,nearshore,4/9/24,50.37,9.64,6.86,3.32,0.9784,0.8586,Y,Y,TM20,,,Eggs present
201607-OS-5-1,T. mexicanus,93.3 30,NA,7/10/16,30,nearshore,4/9/24,46.15,9.08,7.78,4.53,1.0128,0.9051,Y,Y,TM21,,,Eggs present
201708-SR-4-1,T. mexicanus,93.3 30,NA,8/1/17,30,nearshore,4/9/24,60.55,11.76,9.33,5.62,2.1759,1.848,Y,Y,TM14,,,Eggs present
200711-NH-26-1,T. mexicanus,90 37,NA,11/1/07,31,dumpsite,5/14/24,63.9,12.78,10.77,6.15,2.7054,2.4888,Y,,TM31,,,To be removed week of April 15
200701-JD-42-1,T. mexicanus,86.7 35,NA,1/1/07,31,dumpsite,5/14/24,45.67,7.18,6.78,3.81,0.81,0.6645,Y,,TM32,,,To be removed week of April 15
200707-NH-35-1,T. mexicanus,86.7 35,NA,7/1/07,31,dumpsite,5/14/24,47.04,9.54,7.44,4.14,1.1904,0.976,Y,,TM33,,,To be removed week of April 15
200808-NH-30-1,T. mexicanus,90 35,NA,8/1/08,31,dumpsite,5/14/24,56.92,11.25,9.1,4.76,1.9481,1.6907,Y,,TM34,,,To be removed week of April 15
200106-JD-2-1,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,45.56,8.4,6.88,2.73,0.7879,0.7246,Y,,TM36,,,To be removed week of April 15
200106-JD-2-2,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,47.88,9.59,8.01,3.74,1.0073,0.8864,Y,,TM37,,,To be removed week of April 15
200106-JD-2-3,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,47.91,8.77,7.84,2.84,0.8565,0.7602,Y,,TM38,,,To be removed week of April 15
200106-JD-2-4,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,37.93,7.76,6.16,3,0.4641,0.3958,Y,,TM39,,,To be removed week of April 15
200106-JD-2-5,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,36.01,6.99,6.37,2.55,0.3464,0.2786,Y,,TM40,,,To be removed week of April 15
200106-JD-2-6,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/15/24,42.74,8.63,7.97,3.49,0.6539,0.5852,Y,,TM41,,,To be removed week of April 15
200106-JD-2-7,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,,,,,,,,,,,,,To be removed week of April 15
200106-JD-41-1,T. mexicanus,93.3 30,NA,6/1/01,32,nearshore,5/14/24,47.76,10.28,8.84,3.91,1.2233,1.0576,Y,,TM35,,,To be removed week of April 15
199702-JD-24-1,T. mexicanus,90 45,NA,2/1/97,33,offshore,5/21/24,51,10.45,9.57,4.6,1.3355,1.1249,Y,,TM42,,,To be removed week of April 15
199807-NH-24-1,T. mexicanus,90 45,NA,7/1/98,33,offshore,5/21/24,56.47,11.97,9.61,4.76,2.0657,1.7556,Y,,TM43,,,To be removed week of April 15
199807-NH-24-2,T. mexicanus,90 45,NA,7/1/98,33,offshore,5/21/24,35.42,6.34,5.34,2.93,0.4249,0.3582,Y,,TM44,,,To be removed week of April 15
199809-NH-24-1,T. mexicanus,90 45,NA,9/1/98,33,offshore,5/21/24,36.73,7.94,6.58,4.47,0.5019,0.3858,Y,,TM45,,,To be removed week of April 15
199904-JD-24-1,T. mexicanus,90 45,NA,4/1/99,33,offshore,,,,,,,,,,,,,To be removed week of April 15
199604-JD-23-1,T. mexicanus,90 45,NA,4/1/96,33,offshore,5/22/24,49.68,8.58,7.31,4.05,0.9019,0.7641,Y,,TM46,,,To be removed week of April 15
201411-NH-27-1,T. mexicanus,90 45,NA,11/1/14,34,offshore,5/22/24,58.03,10.89,9.46,4.42,1.8032,1.5993,Y,,TM47,,,To be removed week of April 15
201411-NH-27-2,T. mexicanus,90 45,NA,11/1/14,34,offshore,5/22/24,42.85,8.29,6.91,3.37,0.5601,0.4738,Y,,TM48,,,To be removed week of April 15
201501-NH-26-1,T. mexicanus,90 45,NA,1/1/15,34,offshore,5/22/24,48.45,8.88,7.77,4.12,0.7826,0.7115,Y,,TM49,,,To be removed week of April 15
201501-NH-26-2,T. mexicanus,90 45,NA,1/1/15,34,offshore,5/22/24,47.6,9.14,8.13,3.92,0.6942,0.632,Y,,TM50,,,To be removed week of April 15
201501-NH-26-3,T. mexicanus,90 45,NA,1/1/15,34,offshore,5/22/24,44.28,8.66,7.36,3.31,0.5673,0.5061,Y,,TM51,,,To be removed week of April 15
201501-NH-26-4,T. mexicanus,90 45,NA,1/1/15,34,offshore,5/22/24,41.14,8.06,6.53,3.4,0.5048,0.4256,Y,,TM52,,,To be removed week of April 15
201501-NH-26-5,T. mexicanus,90 45,NA,1/1/15,34,offshore,5/22/24,40.36,7.91,6.82,3.84,0.5209,0.446,Y,,TM53,,,To be removed week of April 15
198102-JD-33-1,T. mexicanus,93.3 55,NA,2/1/81,35,offshore,5/31/24,45.31,8.71,7.77,4.16,0.7174,0.6258,Y,,TM54,,,
198105-JD-20-1,T. mexicanus,93.3 45,NA,5/1/81,35,offshore,5/31/24,54.31,10.32,9.27,5.13,1.3436,1.1056,Y,,TM55,,,
198410-NH-19-1,T. mexicanus,93.3 55,NA,10/1/84,35,offshore,,,,,,,,,,,,,
198410-NH-20-1,T. mexicanus,93.3 50,NA,10/1/84,35,offshore,5/31/24,57.84,11.02,9.79,6.08,1.7101,1.5701,Y,,TM56,,,
201511-OC-23-1,T. mexicanus,90 30,NA,11/1/15,36,dumpsite,6/7/24,66.69,12.69,11.16,6.14,2.5313,2.2496,Y,,TM74,,,
201507-SH-8-1,T. mexicanus,88.2 34.6,NA,7/1/15,36,dumpsite,6/7/24,44.96,8.1,7.15,4.2,0.66,0.5574,Y,,TM75,,,
201507-SH-8-2,T. mexicanus,88.2 34.6,NA,7/1/15,36,dumpsite,6/7/24,44.51,8.41,7.3,4.07,0.6852,0.5509,Y,,TM76,,,
201507-OC-35-1,T. mexicanus,86.7 35,NA,7/1/15,36,dumpsite,6/7/24,51.23,9.09,7.58,4.59,1.113,0.9361,Y,,TM77,,,
201604-SH-28-1,T. mexicanus,90 35,NA,4/1/16,37,dumpsite,6/7/24,59.27,10.1,11.27,9.99,1.9568,1.5806,Y,,TM78,,,
201604-SH-28-2,T. mexicanus,90 35,NA,4/1/16,37,dumpsite,6/7/24,54.75,9.63,8.17,4.87,1.3988,1.1971,Y,,TM79,,,
201601-RL-27-1,T. mexicanus,90 37,NA,1/1/16,37,dumpsite,6/7/24,50.84,9.78,8.56,4.66,1.1205,1.002,Y,,TM80,,,
201701-RL-27-1,T. mexicanus,90 37,NA,1/1/17,37,dumpsite,6/10/24,58.87,10.98,9.27,5.64,1.8231,1.5965,Y,,TM85,,,
201407-NH-22-1,T. mexicanus,90 80,NA,7/1/14,38,offshore,6/7/24,50.98,9.59,8.05,4.82,1.127,0.9877,Y,,TM81,,,
201601-RL-22-1,T. mexicanus,90 80,NA,1/1/16,38,offshore,6/7/24,50.5,9.74,8.11,4.7,1.1388,1.0085,Y,,TM82,,,
201304-SH-24-1,T. mexicanus,93.3 80,NA,4/1/13,38,offshore,6/10/24,50.48,9.11,7.8,4.65,0.9813,0.8795,Y,,TM83,,,
201304-SH-24-2,T. mexicanus,93.3 80,NA,4/1/13,38,offshore,6/10/24,63.12,11.44,9.94,6.05,2.0098,1.8452,Y,,TM84,,,
198605-JD-5-1,T. mexicanus,93.3 35,NA,5/1/86,39,nearshore,5/31/24,39.85,7.89,6.64,3.63,0.5154,0.4325,Y,,TM57,,,
198602-JD-4-1,T. mexicanus,93.3 30,NA,2/1/86,39,nearshore,5/31/24,47.65,8.72,7.75,4.3,0.7953,0.7141,Y,,TM58,,,
198801-JD-4-1,T. mexicanus,93.3 30,NA,1/1/88,39,nearshore,,,,,,,,,,,,,
198904-JD-3-1,T. mexicanus,93.3 30,NA,4/1/89,39,nearshore,,,,,,,,,,,,,
199004-JD-3-1,T. mexicanus,93.3 30,NA,4/1/90,39,nearshore,5/31/24,51.53,9.9,8.31,4.96,1.0744,0.9555,Y,,TM59,,,
199004-JD-3-2,T. mexicanus,93.3 30,NA,4/1/90,39,nearshore,5/31/24,40.6,7.99,6.55,3.67,0.517,0.4619,Y,,TM60,,,
199304-JD-46-1,T. mexicanus,83.3 60,NA,4/1/93,40,offshore,6/4/24,52.13,9.72,8.3,4.34,1.1801,0.9877,Y,,TM61,,,
199501-JD-34-1,T. mexicanus,86.7 55,NA,1/1/95,40,offshore,6/4/24,50.92,10.39,8.72,4.03,1.1509,0.9875,Y,,TM62,,,
199501-JD-34-2,T. mexicanus,86.7 55,NA,1/1/95,40,offshore,6/4/24,40.1,8.35,7.08,3.22,0.5543,0.4551,Y,,TM63,,,
199510-NH-35-1,T. mexicanus,86.7 60,NA,10/1/95,40,offshore,6/4/24,49.22,9.68,8.07,3.68,1.205,1.003,Y,,TM64,,,
200607-NH-4-1,T. mexicanus,93.3 28,NA,7/1/06,41,nearshore,,,,,,,,,,,,,
200607-NH-4-2,T. mexicanus,93.3 28,NA,7/1/06,41,nearshore,6/6/24,42.6,8.45,7.02,4.36,0.723,0.5798,Y,,TM65,,,
200610-RR-5-1,T. mexicanus,93.3 30,NA,10/1/06,41,nearshore,6/6/24,51.69,9.37,8.13,4.99,1.2468,1.1006,Y,,TM66,,,
200701-JD-5-1,T. mexicanus,93.3 30,NA,1/1/07,41,nearshore,6/6/24,51.52,10.1,8.28,4.78,1.1537,0.9979,Y,,TM67,,,
200907-M2-1-1,T. mexicanus,93.3 26.7,NA,7/1/09,41,nearshore,6/6/24,37.27,7.06,6.22,3.28,0.4684,0.3723,Y,,TM68,,,
200911-NH-4-1,T. mexicanus,93.3 28,NA,11/1/09,41,nearshore,6/6/24,48.79,8.76,7.52,4.45,0.9077,0.7977,Y,,TM69,,,
200911-NH-5-1,T. mexicanus,93.3 30,NA,11/1/09,41,nearshore,6/6/24,39.15,7.38,5.78,3.9,0.5078,0.4354,Y,,TM70,,,
201501-NH-9-1,T. mexicanus,93.3 50,NA,1/1/15,42,offshore,6/6/24,50.26,9.87,8.16,4.74,1.1143,0.9714,Y,,TM71,,,
201607-OS-10-1,T. mexicanus,93.3 55,NA,7/1/16,42,offshore,6/6/24,60.77,11.85,10.12,5.83,2.1817,1.9874,Y,,TM72,,,
201701-RL-9-1,T. mexicanus,93.3 50,NA,1/1/17,42,offshore,6/7/24,51.43,9.32,7.58,5.85,1.0831,0.9533,Y,,TM73,,,
201701-RL-11-1,T. mexicanus,93.3 60,NA,1/1/17,42,offshore,6/10/24,51.19,9.97,8.12,4.91,1.0933,0.9698,Y,,TM86,,,
201804-SH-10-1,T. mexicanus,93.3 55,NA,4/1/18,43,offshore,6/10/24,52.25,9.66,8.08,4.75,1.0511,0.8794,Y,,TM87,,,
201904-RL-10-1,T. mexicanus,93.3 60,NA,4/1/19,43,offshore,6/10/24,47.18,9.05,7.63,4.33,0.9032,0.7907,Y,,TM88,,,
201907-BH-9-1,T. mexicanus,93.3 50,NA,7/1/19,43,offshore,6/10/24,41.41,7.88,6.49,3.89,0.5951,0.5233,Y,,TM89,,,
201907-BH-23-1,T. mexicanus,90 53,NA,7/1/19,43,offshore,6/10/24,61.36,11.19,9.42,5.59,1.844,1.6087,Y,,TM90,,,
